postac_a,postac_b,sila_relacji
CHERYL,WALTER,8
TED HENDRICKS,WALTER,8
EDNA,WALTER,6
MAN,WALTER,6
ODESSA,WALTER,5
EHARMONY COUNSELOR,WALTER,5
RICH,WALTER,4
CHERYL,RICH,4
CAPTAIN,WALTER,4
SEAN,WALTER,4
TIM NAUGHTON,WALTER,4
PILOT,WALTER,4
HERNANDO,WALTER,3
TODD MAHAR,WALTER,3
CHILEAN SAILOR,WALTER,3
MARK CHATHAM,WALTER,3
EDITOR,TED HENDRICKS,2
EDITOR,WALTER,2
MAN,PILOT,2
GARY MANNHEIM,WALTER,2
GARY,WALTER,2
GARY,GARY MANNHEIM,2
TED HENDRICKS,TIM NAUGHTON,2
TED HENDRICKS,TED HENDRICKS COLLEAGUE,2
GUIDE,WALTER,2
SOREN,WALTER,2
CAB DRIVER,WALTER,2
TED HENDRICKS COLLEAGUE,WALTER,2
"90.
                         
                         
                         
                                    WALTER","93.
                         
                         
                         
                                             WALTER",1
"80.
                         
                         
                         
                                             WALTER",WALTER,1
"80.
                         
                         
                         
                                             WALTER",STEVE PENDERS,1
"80.
                         
                         
                         
                                             WALTER","COMP--
                         
                                             WALTER",1
"80.
                         
                         
                         
                                             WALTER","CHECK
                         
                                             WALTER",1
"90.
                         
                         
                         
                                    WALTER","94.
                         
                         
                         
                                               SEAN",1
"80.
                         
                         
                         
                                             WALTER","81.
                         
                         
                         
                                             WALTER",1
"81.
                         
                         
                         
                                             WALTER","CHECK
                         
                                             WALTER",1
"90.
                         
                         
                         
                                    WALTER","95.
                         
                         
                         
                                             WALTER",1
SEAN,TED HENDRICKS,1
"90.
                         
                         
                         
                                    WALTER",EHARMONY COUNSELOR,1
"PERMANENT--
                         
                                             NEW GUY",WALTER,1
NEW GUY,WALTER,1
"PERMANENT--
                         
                                             NEW GUY",TED HENDRICKS COLLEAGUE,1
"PERMANENT--
                         
                                             NEW GUY",TED HENDRICKS,1
"PERMANENT--
                         
                                             NEW GUY",SEAN,1
SEAN,TED HENDRICKS COLLEAGUE,1
STEVE PENDERS,WALTER,1
"84.
                         
                         
                         
                                             WALTER",EDNA,1
"COMP--
                         
                                             WALTER",WALTER,1
"84.
                         
                         
                         
                                             WALTER",WALTER,1
"COMP--
                         
                                             WALTER",STEVE PENDERS,1
